user: user_1         op: REGISTER  	KO 17 (File exists) 
user: user_8         op: REGISTER  	KO 17 (File exists) 
user: user_2         op: REGISTER  	KO 17 (File exists) 
user: user_3         op: REGISTER  	KO 17 (File exists) 
user: user_4         op: REGISTER  	KO 17 (File exists) 
user: user_1         op: STORE     	OK 
user: user_8         op: STORE     	OK 
user: user_8         op: STORE     	OK 
user: user_6         op: REGISTER  	KO 17 (File exists) 
user: user_4         op: STORE     	OK 
user: user_1         op: STORE     	OK 
user: user_5         op: REGISTER  	KO 17 (File exists) 
user: user_3         op: STORE     	OK 
user: user_4         op: STORE     	OK 
user: user_3         op: STORE     	OK 
user: user_2         op: STORE     	OK 
user: user_6         op: STORE     	OK 
user: user_6         op: STORE     	OK 
user: user_2         op: STORE     	OK 
user: user_5         op: STORE     	OK 
user: user_16        op: REGISTER  	KO 17 (File exists) 
user: user_5         op: STORE     	OK 
user: user_16        op: STORE     	OK 
user: user_16        op: STORE     	OK 
user: user_15        op: REGISTER  	KO 17 (File exists) 
user: user_15        op: STORE     	OK 
user: user_15        op: STORE     	OK 
user: user_14        op: REGISTER  	KO 17 (File exists) 
user: user_10        op: REGISTER  	KO 17 (File exists) 
user: user_14        op: STORE     	OK 
user: user_10        op: STORE     	OK 
user: user_14        op: STORE     	OK 
user: user_10        op: STORE     	OK 
user: user_20        op: REGISTER  	KO 17 (File exists) 
user: user_7         op: REGISTER  	KO 17 (File exists) 
user: user_20        op: STORE     	OK 
user: user_9         op: REGISTER  	KO 17 (File exists) 
user: user_20        op: STORE     	OK 
user: user_7         op: STORE     	OK 
user: user_7         op: STORE     	OK 
user: user_9         op: STORE     	OK 
user: user_9         op: STORE     	OK 
user: user_18        op: REGISTER  	KO 17 (File exists) 
user: user_13        op: REGISTER  	KO 17 (File exists) 
user: user_13        op: STORE     	OK 
user: user_18        op: STORE     	OK 
user: user_13        op: STORE     	OK 
user: user_18        op: STORE     	OK 
user: user_19        op: REGISTER  	KO 17 (File exists) 
user: user_2         op: STORE     	OK 
user: user_16        op: STORE     	OK 
user: user_1         op: STORE     	OK 
user: user_6         op: STORE     	OK 
user: user_6         op: LEAVE     	OK 
user: user_2         op: LEAVE     	OK 
user: user_16        op: LEAVE     	OK 
user: user_1         op: LEAVE     	OK 
user: user_11        op: REGISTER  	KO 17 (File exists) 
user: user_22        op: REGISTER  	KO 17 (File exists) 
